genus_species,crm_tree_id,scientific_name,common_name,size,priority,,,,,,,,,,,,,,
Amelanchier canadensis,a0o1I000001VW8nQAG,Amelanchier canadensis - Rainbow Pillar,"Serviceberry, Shadblow Rainbow Pillar",Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier laevis,a0o1I000001VW8qQAG,Amelanchier laevis,"Serviceberry, Allegheny",Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier laevis,a0o1I000001VW8rQAG,Amelanchier laevis - Cumulus,"Serviceberry, Allegheny Cumulus",Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier laevis,a0o1I000001VW8sQAG,Amelanchier laevis - Lustre,"Serviceberry, Allegheny Lustre",Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier laevis,a0o1I000001VW8tQAG,Amelanchier laevis - Spring Flurry,"Serviceberry, Allegheny Spring Flurry",Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier lamarckii,a0o1I000001VW8uQAG,Amelanchier lamarckii,Juneberry,Small Tree,FALSE,,,,,,,,,,,,,,
Amelanchier x grandiflora,a0o1I000001VWETQA4,Amelanchier x grandiflora - Princess Diana,"Serviceberry, Apple Princess Diana",Small Tree,TRUE,,,,,,,,,,,,,,
Amelanchier x grandiflora,a0o1I000001VW8pQAG,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",Small Tree,TRUE,,,,,,,,,,,,,,
Amelanchier x grandiflora,a0o1I00000OOh39QAD,Amelanchier x grandiflora,"Serviceberry, Apple",Small Tree,TRUE,,,,,,,,,,,,,,
Amorpha fruticosa,a0o1I000001VW8vQAG,Amorpha fruticosa,False Indigo,shrub,FALSE,,,,,,,,,,,,,,
Aronia arbutifolia,a0o1I000001VW8wQAG,Aronia arbutifolia,"Chokeberry, Red",shrub,FALSE,,,,,,,,,,,,,,
Aronia melanocarpa,a0o1I000001VW8xQAG,Aronia (Photinia) melanocarpa,"Chokeberry, Black",shrub,FALSE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWEFQA4,Asimina triloba - Prolific,"Pawpaw, Prolific",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWEHQA4,Asimina triloba - Overleese,"Pawpaw, Overleese",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWEIQA4,Asimina triloba - Wells,"Pawpaw, Wells",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWEMQA4,Asimina triloba - NC-1,"Pawpaw, NC-1",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VW8yQAG,Asimina triloba,Pawpaw,Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VW8zQAG,Asimina triloba - Potomac,"Pawpaw, Potomac",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VW90QAG,Asimina triloba - Shenandoah,"Pawpaw, Shenandoah",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VW91QAG,Asimina triloba - Susquehanna,"Pawpaw, Susquehanna",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWCVQA4,Asimina triloba - Allegheny,"Pawpaw, Allegheny",Medium Tree,TRUE,,,,,,,,,,,,,,
Asimina triloba,a0o1I000001VWCWQA4,Asimina triloba - Mango,"Pawpaw, Mango",Medium Tree,TRUE,,,,,,,,,,,,,,
Baccharis halimifolia,a0o1I000001VWDhQAO,Baccharis halimifolia,Groundseltree,shrub,FALSE,,,,,,,,,,,,,,
Betula lenta,a0o1I000001VW92QAG,Betula lenta,"Birch, Sweet",Medium Tree,FALSE,,,,,,,,,,,,,,
Betula nigra,a0o1I000001VW93QAG,Betula nigra,"Birch, River",Medium Tree,TRUE,,,,,,,,,,,,,,
Betula nigra,a0o1I000001VW94QAG,Betula nigra - Dura-Heat,"Birch, River Dura-Heat",Medium Tree,TRUE,,,,,,,,,,,,,,
Betula nigra,a0o1I000001VWCXQA4,Betula nigra - Heritage,"Birch, River Heritage",Medium Tree,TRUE,,,,,,,,,,,,,,
Betula papyrifera,a0o1I000001VW95QAG,Betula papyrifera - Renaissance Reflection,"Birch, Paper Renaissance Reflection",Medium Tree,FALSE,,,,,,,,,,,,,,
Calycanthus floridus,a0o1I000001VW96QAG,Calycanthus floridus,"Allspice, Carolina",shrub,FALSE,,,,,,,,,,,,,,
Carpinus betulus,a0o1I000001VW98QAG,Carpinus betulus,"Hornbeam, European",Small Tree,FALSE,,,,,,,,,,,,,,
Carpinus betulus,a0o1I000001VW99QAG,Carpinus betulus - Fastigiata,"Hornbeam, European Fastigiata",Small Tree,FALSE,,,,,,,,,,,,,,
Carpinus caroliniana,a0o1I000001VW9AQAW,Carpinus caroliniana,"Hornbeam, American",Small Tree,TRUE,,,,,,,,,,,,,,
Carpinus caroliniana,a0o1I000001VW9BQAW,Carpinus caroliniana - Firespire,"Hornbeam, American Firespire",Small Tree,TRUE,,,,,,,,,,,,,,
Carpinus speciosa,a0o1I000001VW97QAG,Carpinus speciosa,Hornbeam,Small Tree,FALSE,,,,,,,,,,,,,,
Carya cordiformis,a0o1I000001VW9CQAW,Carya cordiformis,"Hickory, Bitternut",Large Tree,FALSE,,,,,,,,,,,,,,
Carya illinoinensis,a0o1I000001VW9DQAW,Carya glabra,"Hickory, Pignut",Large Tree,FALSE,,,,,,,,,,,,,,
Carya illinoinensis,a0o1I000001VW9EQAW,Carya illinoinensis,"Pecan, Hardy",Large Tree,FALSE,,,,,,,,,,,,,,
Carya illinoinensis,a0o1I000001VW9FQAW,Carya illinoinensis - Peruque,"Pecan, Hardy Peruque",Large Tree,FALSE,,,,,,,,,,,,,,
Carya illinoinensis,a0o1I000001VWCYQA4,Carya illinoinensis - Colby,"Pecan, Hardy Colby",Large Tree,FALSE,,,,,,,,,,,,,,
Carya illinoinensis,a0o1I000001VWCZQA4,Carya illinoinensis - Hardy Giant,"Pecan, Hardy Hardy Giant",Large Tree,FALSE,,,,,,,,,,,,,,
Carya ovata,a0o1I000001VW9GQAW,Carya ovata,"Hickory, Shagbark",Large Tree,FALSE,,,,,,,,,,,,,,
Carya tomentosa,a0o1I000001VW9HQAW,Carya tomentosa,"Hickory, Mockernut",Large Tree,FALSE,,,,,,,,,,,,,,
Castanea pumila,a0o1I000001VW9IQAW,Castanea pumila,"Chinquapin, Allegheny",shrub,FALSE,,,,,,,,,,,,,,
Catalpa bignonioides,a0o1I000001VW9JQAW,Catalpa bignonioides,"Catalpa, Southern",Large Tree,FALSE,,,,,,,,,,,,,,
Catalpa speciosa,a0o1I000001VW9KQAW,Catalpa speciosa,"Catalpa, Northern",Large Tree,FALSE,,,,,,,,,,,,,,
Catalpa speciosa,a0o1I000001VWCaQAO,Catalpa speciosa - Heartland,"Catalpa, Northern Heartland",Large Tree,FALSE,,,,,,,,,,,,,,
Ceanothus americanus,a0o1I000001VW7HQAW,Ceanothus americanus,New Jersey Tea,shrub,FALSE,,,,,,,,,,,,,,
Cedrus atlantica,a0o1I000001VW9LQAW,Cedrus atlantica,"Cedar, Atlas",Large Tree,FALSE,,,,,,,,,,,,,,
Cedrus deodara,a0o1I000001VW9MQAW,Cedrus deodara,"Cedar, Himalayan",Medium Tree,FALSE,,,,,,,,,,,,,,
Cedrus deodara,a0o1I000001VWCbQAO,Cedrus deodara - Aurea,"Cedar, Himalayan Aurea",Medium Tree,FALSE,,,,,,,,,,,,,,
Cedrus deodara,a0o1I000001VWCcQAO,Cedrus deodara - Karl Fuchs,"Cedar, Himalayan Karl Fuchs",Medium Tree,FALSE,,,,,,,,,,,,,,
Cedrus deodara,a0o1I000001VWCdQAO,Cedrus deodara - Silver Mist,"Cedar, Himalayan Silver Mist",Medium Tree,FALSE,,,,,,,,,,,,,,
Cedrus deodara,a0o1I000001VWCeQAO,Cedrus deodara - Sterling Frost,"Cedar, Himalayan Sterling Frost",Medium Tree,FALSE,,,,,,,,,,,,,,
Celtis laevigata,a0o1I000001VW9NQAW,Celtis laevigata,"Hackberry, Sugar",Medium Tree,FALSE,,,,,,,,,,,,,,
Celtis occidentalis,a0o1I000001VW9OQAW,Celtis occidentalis,"Hackberry, Common",Medium Tree,TRUE,,,,,,,,,,,,,,
Celtis occidentalis,a0o1I000001VW9PQAW,Celtis occidentalis - Chicagoland,"Hackberry, Common Chicagoland",Medium Tree,TRUE,,,,,,,,,,,,,,
Celtis occidentalis x laevigata,a0o1I000001VWDqQAO,Celtis occidentalis x laevigata - Magnifica,"Hackberry, Sugar Magnifica",Medium Tree,FALSE,,,,,,,,,,,,,,
Cephalanthus occidentalis,a0o1I000001VW9QQAW,Cephalanthus occidentalis,Buttonbush,shrub,FALSE,,,,,,,,,,,,,,
Cercidiphyllum japonicum,a0o1I000001VW9RQAW,Cercidiphyllum japonicum,Katsura Tree,Medium Tree,FALSE,,,,,,,,,,,,,,
Cercis canadensis,a0o1I00000YHFKGQA5,Cercis canadensis - Alley Cat,"Redbud, Eastern Alley Cat",Small Tree,TRUE,,,,,,,,,,,,,,
Cercis canadensis,a0o1I000001VWDpQAO,Cercis canadensis - Appalachian Red,"Redbud, Eastern Appalachian Red",Small Tree,TRUE,,,,,,,,,,,,,,
Cercis canadensis,a0o1I000001VW9SQAW,Cercis canadensis,"Redbud, Eastern",Small Tree,TRUE,,,,,,,,,,,,,,
Cercis canadensis,a0o1I000001VW9TQAW,Cercis canadensis - Forest Pansy,"Redbud, Eastern Forest Pansy",Small Tree,TRUE,,,,,,,,,,,,,,
Cercis canadensis,a0o1I000001VWCfQAO,Cercis canadensis - Alba,"Redbud, Eastern Alba",Small Tree,TRUE,,,,,,,,,,,,,,
